32.0202, 5400, 1800, 0, -nan, -nan
35.1101, 5385.36, 2973.24, 0.000288433, -279.653, 1943.73
35.1201, 5385.36, 2973.24, 0.000288433, -356.796, 1913.03
35.1301, 5380.87, 2991.44, 0.000316788, 0, 0
35.1401, 5380.87, 2991.44, 0.000316788, -449.744, 1822.23
35.1501, 5376.99, 3010.26, 0.000279782, 0, 0
35.1601, 5376.99, 3010.26, 0.000279782, -387.996, 1883.84
35.1701, 5372.96, 3028.77, 0.000269694, 0, 0
35.1801, 5372.96, 3028.77, 0.000269694, -402.637, 1849.64
35.1901, 5369.86, 3047.13, 0.000275823, 0, 0
35.2001, 5369.86, 3047.13, 0.000275823, -309.8, 1832.39
35.2101, 5369.53, 3066.11, 0.000298113, 0, 0
35.2201, 5369.53, 3066.11, 0.000298113, -32.7488, 1899.05
35.2301, 5365.65, 3085.39, 0.000295904, 0, 0
35.2401, 5365.65, 3085.39, 0.000295904, -386.866, 1924.39
35.2501, 5361.47, 3104.36, 0.000287037, 0, 0
35.2601, 5361.47, 3104.36, 0.000287037, -417.625, 1893.61
35.2701, 5357.59, 3123.03, 0.000291025, 0, 0
35.2801, 5357.59, 3123.03, 0.000291025, -387.196, 1864.75
35.2901, 5354.03, 3141.54, 0.000282115, 0, 0
35.3001, 5354.03, 3141.54, 0.000282115, -356.489, 1850.12
35.3101, 5351.08, 3160.21, 0.000287945, 0, 0
35.3201, 5351.08, 3160.21, 0.000287945, -294.939, 1866.36
35.3301, 5348.28, 3178.57, 0.000290153, 0, 0
35.3401, 5348.28, 3178.57, 0.000290153, -279.744, 1837.18
35.3501, 5345.33, 3197.54, 0.000292882, 0, 0
35.3601, 5345.33, 3197.54, 0.000292882, -295.296, 1899.2
35.3701, 5342.07, 3216.21, 0.000309417, 0, 0
35.3801, 5342.07, 3216.21, 0.000309417, -325.174, 1862.64
35.3901, 5338.04, 3234.56, 0.000296516, 0, 0
35.4001, 5338.04, 3234.56, 0.000296516, -402.526, 1833.56
35.4101, 5335.09, 3252.61, 0.000306132, 0, 0
35.4201, 5335.09, 3252.61, 0.000306132, -294.786, 1803.87
